CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKONGC25-NOV-2025,238.6300000,238.0500000,239.6000000,237.6800000,239.3500000,239.3500000,0.3000000,217.0000000,72000.0000000,32.0000000,17203927.5000000
FUTSTKONGC30-SEP-2025,236.5100000,236.1200000,237.6100000,235.4000000,237.2000000,237.2000000,0.2900000,37662.0000000,9261000.0000000,4116.0000000,2192551087.5000000
FUTSTKPERSISTENT25-NOV-2025,5652.5000000,5630.0000000,5630.0000000,5575.0000000,5585.5000000,5585.5000000,-1.1800000,136.0000000,9000.0000000,90.0000000,50392700.0000000
FUTSTKPERSISTENT30-SEP-2025,5597.5000000,5620.0000000,5620.0000000,5507.0000000,5524.5000000,5524.5000000,-1.3000000,24865.0000000,601600.0000000,6016.0000000,3331560400.0000000
FUTSTKPERSISTENT28-OCT-2025,5624.0000000,5613.5000000,5613.5000000,5532.5000000,5545.0000000,5545.0000000,-1.4000000,2424.0000000,172400.0000000,1724.0000000,958321600.0000000
FUTSTKPFC30-SEP-2025,409.0500000,409.5000000,412.0000000,408.6000000,410.2500000,410.2500000,0.2900000,35697.0000000,5640700.0000000,4339.0000000,2315865955.0000000
FUTSTKPFC25-NOV-2025,410.0000000,409.9000000,412.7000000,409.9000000,411.6500000,411.6500000,0.4000000,598.0000000,217100.0000000,167.0000000,89327485.0000000
FUTSTKPFC28-OCT-2025,411.1000000,411.9000000,414.0000000,410.7000000,412.4000000,412.4000000,0.3100000,3839.0000000,1896700.0000000,1459.0000000,782785510.0000000
FUTSTKPHOENIXLTD25-NOV-2025,1642.5000000,1642.5000000,1653.0000000,1637.3000000,1653.0000000,1653.0000000,0.6300000,22.0000000,1750.0000000,5.0000000,2877490.0000000
FUTSTKPHOENIXLTD28-OCT-2025,1640.3000000,1632.0000000,1648.9000000,1629.0000000,1642.9000000,1642.9000000,0.1500000,400.0000000,50400.0000000,144.0000000,82685750.0000000
FUTSTKPHOENIXLTD30-SEP-2025,1629.6000000,1623.7000000,1640.7000000,1618.4000000,1635.6000000,1635.6000000,0.3600000,12875.0000000,789600.0000000,2256.0000000,1289607550.0000000
FUTSTKPIIND25-NOV-2025,3748.1000000,3772.9000000,3799.4000000,3743.9000000,3749.1000000,3749.1000000,0.0200000,39.0000000,1925.0000000,11.0000000,7259105.0000000
FUTSTKPIIND28-OCT-2025,3734.4000000,3733.6000000,3789.9000000,3733.6000000,3754.0000000,3754.0000000,0.5200000,468.0000000,49175.0000000,281.0000000,185048885.0000000
FUTSTKPIIND30-SEP-2025,3712.4000000,3717.6000000,3772.0000000,3717.6000000,3735.7000000,3735.7000000,0.6200000,10566.0000000,363300.0000000,2076.0000000,1359885765.0000000
FUTSTKPNB30-SEP-2025,112.2800000,113.0000000,114.7800000,111.9600000,113.7000000,113.7000000,1.2600000,26513.0000000,57256000.0000000,7157.0000000,6519421840.0000000
FUTSTKPNB28-OCT-2025,112.8200000,113.3000000,115.2800000,112.7000000,114.2700000,114.2700000,1.2800000,4031.0000000,18776000.0000000,2347.0000000,2150842160.0000000
FUTSTKPNB25-NOV-2025,113.3400000,113.7100000,115.7500000,113.7100000,114.8300000,114.8300000,1.3100000,331.0000000,1736000.0000000,217.0000000,199425840.0000000
FUTSTKPOLICYBZR30-SEP-2025,1793.2000000,1786.0000000,1816.4000000,1776.7000000,1812.0000000,1812.0000000,1.0400000,21362.0000000,1675800.0000000,4788.0000000,3026555700.0000000
FUTSTKPOLICYBZR25-NOV-2025,1811.6000000,1811.6000000,1824.2000000,1797.0000000,1824.0000000,1829.9000000,1.0100000,44.0000000,4900.0000000,14.0000000,8890735.0000000
FUTSTKPOLICYBZR28-OCT-2025,1801.4000000,1794.6000000,1824.9000000,1785.0000000,1819.8000000,1819.8000000,1.0200000,955.0000000,222250.0000000,635.0000000,401966075.0000000
FUTSTKPOLYCAB25-NOV-2025,7526.5000000,7569.0000000,7637.0000000,7541.5000000,7631.5000000,7631.5000000,1.3900000,95.0000000,9250.0000000,74.0000000,70314875.0000000
FUTSTKPOLYCAB28-OCT-2025,7490.5000000,7490.5000000,7614.5000000,7490.5000000,7598.0000000,7598.0000000,1.4300000,551.0000000,88750.0000000,710.0000000,672298437.5000000
FUTSTKPOLYCAB30-SEP-2025,7457.5000000,7460.0000000,7583.5000000,7460.0000000,7558.5000000,7558.5000000,1.3500000,13209.0000000,406625.0000000,3253.0000000,3063066250.0000000
FUTSTKPRESTIGE25-NOV-2025,1648.8000000,1634.0000000,1643.9000000,1618.0000000,1643.9000000,1643.9000000,-0.2900000,46.0000000,2700.0000000,6.0000000,4409640.0000000
FUTSTKPRESTIGE28-OCT-2025,1643.2000000,1635.4000000,1646.9000000,1607.5000000,1633.2000000,1633.2000000,-0.6000000,387.0000000,180450.0000000,401.0000000,294392655.0000000
FUTSTKPRESTIGE30-SEP-2025,1636.1000000,1630.3000000,1640.9000000,1599.3000000,1626.6000000,1626.6000000,-0.5800000,10026.0000000,1284300.0000000,2854.0000000,2083811670.0000000
FUTSTKRBLBANK25-NOV-2025,274.3000000,0.0000000,0.0000000,0.0000000,,274.0500000,-0.0900000,76.0000000,0.0000000,0.0000000,0.0000000
FUTSTKRBLBANK28-OCT-2025,274.6500000,272.0000000,275.5000000,272.0000000,274.5000000,274.5000000,-0.0500000,2938.0000000,158750.0000000,50.0000000,43638152.5000000
FUTSTKRBLBANK30-SEP-2025,273.0000000,272.2000000,274.5500000,270.6500000,272.9000000,272.9000000,-0.0300000,19728.0000000,1155700.0000000,364.0000000,315301630.0000000
FUTSTKRELIANCE25-NOV-2025,1432.6000000,1432.6000000,1432.6000000,1420.2000000,1426.2000000,1426.2000000,-0.4400000,5742.0000000,813000.0000000,1626.0000000,1160611000.0000000
FUTSTKRELIANCE28-OCT-2025,1425.8000000,1429.0000000,1429.0000000,1413.5000000,1419.4000000,1419.4000000,-0.4400000,36122.0000000,3143000.0000000,6286.0000000,4459820550.0000000
FUTSTKRELIANCE30-SEP-2025,1418.5000000,1417.0000000,1419.7000000,1406.1000000,1412.1000000,1412.1000000,-0.4500000,226412.0000000,10931000.0000000,21862.0000000,15432459400.0000000
FUTSTKSAMMAANCAP28-OCT-2025,140.6400000,140.6000000,146.9500000,139.0200000,144.7400000,144.7400000,2.9100000,8416.0000000,40054500.0000000,9315.0000000,5790382795.0000000
FUTSTKSAMMAANCAP30-SEP-2025,139.9900000,140.0000000,146.3400000,138.2700000,144.0100000,144.0100000,2.8700000,13955.0000000,76780800.0000000,17856.0000000,11036142855.0000000
FUTSTKSAMMAANCAP25-NOV-2025,141.2600000,141.1000000,147.4000000,139.9600000,144.5200000,144.5200000,2.3000000,298.0000000,885800.0000000,206.0000000,128253520.0000000
FUTSTKSBICARD25-NOV-2025,866.8500000,871.1500000,871.7000000,854.0000000,855.7500000,855.7500000,-1.2800000,495.0000000,195200.0000000,244.0000000,167830280.0000000
FUTSTKSBICARD30-SEP-2025,881.1000000,882.6000000,890.6000000,867.7000000,870.7500000,870.7500000,-1.1700000,18131.0000000,2898400.0000000,3623.0000000,2539934000.0000000
FUTSTKSBICARD28-OCT-2025,871.3500000,874.4500000,879.8000000,859.7000000,861.6500000,861.6500000,-1.1100000,2760.0000000,1166400.0000000,1458.0000000,1012107800.0000000
FUTSTKSHREECEM25-NOV-2025,30305.0000000,30035.0000000,30035.0000000,30035.0000000,30035.0000000,30220.0000000,-0.2800000,12.0000000,25.0000000,1.0000000,750875.0000000
FUTSTKSHREECEM30-SEP-2025,30015.0000000,30085.0000000,30135.0000000,29750.0000000,29925.0000000,29925.0000000,-0.2900000,9525.0000000,27575.0000000,1103.0000000,825301125.0000000
FUTSTKSHREECEM28-OCT-2025,30110.0000000,30175.0000000,30230.0000000,29880.0000000,30075.0000000,30075.0000000,-0.1100000,314.0000000,3775.0000000,151.0000000,113473125.0000000
FUTSTKSHRIRAMFIN28-OCT-2025,632.5000000,633.6000000,641.4000000,633.6000000,637.6000000,637.6000000,0.8000000,3184.0000000,1437975.0000000,1743.0000000,917143095.0000000
FUTSTKSHRIRAMFIN25-NOV-2025,632.1000000,636.0000000,640.0500000,634.0000000,636.2500000,636.2500000,0.6500000,699.0000000,112200.0000000,136.0000000,71521931.2500000
FUTSTKSHRIRAMFIN30-SEP-2025,629.7500000,628.9000000,638.2500000,628.7500000,634.3000000,634.3000000,0.7200000,48385.0000000,6042300.0000000,7324.0000000,3834006288.7500000
FUTSTKSOLARINDS30-SEP-2025,14643.0000000,14639.0000000,14774.0000000,14585.0000000,14706.0000000,14706.0000000,0.4300000,9523.0000000,87075.0000000,1161.0000000,1280358075.0000000
FUTSTKSOLARINDS28-OCT-2025,14720.0000000,14718.0000000,14835.0000000,14703.0000000,14777.0000000,14777.0000000,0.3800000,857.0000000,16875.0000000,225.0000000,249529575.0000000
FUTSTKSOLARINDS25-NOV-2025,14785.0000000,14880.0000000,14884.0000000,14800.0000000,14852.0000000,14852.0000000,0.4500000,189.0000000,750.0000000,10.0000000,11138250.0000000
FUTSTKSRF30-SEP-2025,2943.8000000,2944.4000000,2963.4000000,2933.9000000,2947.6000000,2947.6000000,0.1200000,13634.0000000,304800.0000000,1524.0000000,899023480.0000000
FUTSTKSRF28-OCT-2025,2957.6000000,2957.8000000,2976.0000000,2949.0000000,2961.3000000,2961.3000000,0.1200000,646.0000000,51800.0000000,259.0000000,153548700.0000000
FUTSTKSRF25-NOV-2025,2971.1000000,2971.4000000,2975.0000000,2971.4000000,2973.2000000,2973.2000000,0.0700000,46.0000000,600.0000000,3.0000000,1783920.0000000
FUTSTKSUPREMEIND30-SEP-2025,4485.2000000,4482.1000000,4497.2000000,4417.3000000,4428.2000000,4428.2000000,-1.2700000,7724.0000000,179025.0000000,1023.0000000,794694092.5000000
FUTSTKSUPREMEIND25-NOV-2025,4526.5000000,4500.0000000,4500.0000000,4455.0000000,4470.4000000,4470.4000000,-1.2300000,21.0000000,2275.0000000,13.0000000,10170737.5000000
FUTSTKSUPREMEIND28-OCT-2025,4507.1000000,4499.5000000,4511.1000000,4436.6000000,4447.5000000,4447.5000000,-1.3200000,316.0000000,47950.0000000,274.0000000,213595165.0000000
FUTSTKSUZLON25-NOV-2025,59.8700000,60.1200000,61.3000000,60.0100000,61.0400000,61.0400000,1.9500000,399.0000000,1048000.0000000,131.0000000,63476000.0000000
